,Unnamed: 0,Pokemon,ClusterPokemon,TipoDominante
0,0,Abomasnow,0,rock
1,1,Abra,11,ground
2,2,Absol,13,ice
3,3,Accelgor,10,poison
4,4,Aegislash,4,poison
5,5,Aerodactyl,14,rock
6,6,Aggron,14,rock
7,7,Aipom,9,poison
8,8,Alakazam,11,ground
9,9,Alomomola,15,water
10,10,Altaria,14,dragon
11,11,Amaura,7,rock
12,12,Ambipom,9,poison
13,13,Amoonguss,8,poison
14,14,Ampharos,3,electric
15,15,Anorith,16,rock
16,16,Arbok,8,poison
17,17,Arcanine,12,fire
18,18,Arceus,7,poison
19,19,Arceus-Bug,7,poison
20,20,Arceus-Dark,7,poison
21,21,Arceus-Dragon,7,poison
22,22,Arceus-Electric,7,poison
23,23,Arceus-Fairy,7,poison
24,24,Arceus-Fighting,7,poison
25,25,Arceus-Fire,7,poison
26,26,Arceus-Flying,7,poison
27,27,Arceus-Ghost,7,poison
28,28,Arceus-Grass,7,poison
29,29,Arceus-Ground,7,poison
30,30,Arceus-Ice,7,poison
31,31,Arceus-Poison,7,poison
32,32,Arceus-Psychic,7,poison
33,33,Arceus-Rock,7,poison
34,34,Arceus-Steel,7,poison
35,35,Arceus-Water,7,poison
36,36,Archen,14,rock
37,37,Archeops,14,rock
38,38,Ariados,8,poison
39,39,Armaldo,16,rock
40,40,Aromatisse,6,ice
41,41,Aron,16,rock
42,42,Articuno,1,flying
43,43,Audino,6,ice
44,44,Aurorus,0,rock
45,45,Avalugg,0,rock
46,46,Axew,14,dragon
47,47,Azelf,12,fire
48,48,Azumarill,15,water
49,49,Azurill,15,water
50,50,Bagon,14,dragon
51,51,Baltoy,4,ground
52,52,Banette,11,poison
53,53,Barbaracle,0,poison
54,54,Barboach,15,water
55,55,Basculin,15,poison
56,56,Bastiodon,4,rock
57,57,Bayleef,2,grass
58,58,Beartic,0,ice
59,59,Beautifly,10,poison
60,60,Beedrill,8,poison
61,61,Beheeyem,11,dark
62,62,Beldum,5,bug
63,63,Bellossom,2,poison
64,64,Bellsprout,8,poison
65,65,Bergmite,0,rock
66,66,Bibarel,0,water
67,67,Bidoof,0,ice
68,68,Binacle,0,poison
69,69,Bisharp,7,poison
70,70,Blastoise,0,rock
71,71,Blaziken,13,fire
72,72,Blissey,13,ice
73,73,Blitzle,3,poison
74,74,Boldore,4,rock
75,75,Bonsly,16,rock
76,76,Bouffalant,16,poison
77,77,Braixen,12,fire
78,78,Braviary,1,rock
79,79,Breloom,16,poison
80,80,Bronzong,4,rock
81,81,Bronzor,4,rock
82,82,Budew,2,poison
83,83,Buizel,15,ice
84,84,Bulbasaur,2,poison
85,85,Buneary,9,ice
86,86,Bunnelby,16,poison
87,87,Burmy,5,bug
88,88,Butterfree,10,poison
89,89,Cacnea,2,poison
90,90,Cacturne,2,poison
91,91,Camerupt,16,rock
92,92,Carbink,4,rock
93,93,Carnivine,2,poison
94,94,Carracosta,0,rock
95,95,Carvanha,9,poison
96,96,Cascoon,8,poison
97,97,Castform,15,poison
98,98,Caterpie,5,bug
99,99,Celebi,15,poison
100,100,Chandelure,12,poison
101,101,Chansey,13,ice
102,102,Charmander,14,dragon
103,103,Charmeleon,14,dragon
104,104,Chatot,1,ice
105,105,Cherrim,2,grass
106,106,Cherubi,2,grass
107,107,Chesnaught,2,poison
108,108,Chespin,2,poison
109,109,Chikorita,2,grass
110,110,Chimchar,12,fire
111,111,Chimecho,11,ice
112,112,Chinchou,3,water
113,113,Chingling,11,ice
114,114,Cinccino,9,poison
115,115,Clamperl,15,poison
116,116,Clauncher,15,poison
117,117,Clawitzer,15,poison
118,118,Claydol,4,rock
119,119,Clefairy,6,ice
120,120,Cleffa,11,ground
121,121,Cloyster,9,poison
122,122,Cobalion,16,poison
123,123,Cofagrigus,11,poison
124,124,Combee,10,bug
125,125,Combusken,12,fire
126,126,Conkeldurr,16,poison
127,127,Corphish,0,ice
128,128,Corsola,16,rock
129,129,Cottonee,2,poison
130,130,Cradily,16,poison
131,131,Cranidos,13,rock
132,132,Crawdaunt,0,poison
133,133,Cresselia,11,ground
134,134,Croagunk,8,poison
135,135,Crobat,8,poison
136,136,Croconaw,0,water
137,137,Crustle,16,rock
138,138,Cryogonal,15,poison
139,139,Cubchoo,9,ice
140,140,Cubone,13,ice
141,141,Cyndaquil,12,fire
142,142,Darkrai,16,poison
143,143,Darmanitan,12,fire
144,144,Darumaka,12,fire
145,145,Dedenne,3,poison
146,146,Deerling,9,grass
147,147,Deino,14,dragon
148,148,Delcatty,9,ice
149,149,Delibird,15,ice
150,150,Delphox,12,fire
151,151,Deoxys,7,poison
152,152,Deoxys-Attack,7,poison
153,153,Deoxys-Defense,7,poison
154,154,Deoxys-Speed,7,poison
155,155,Dewgong,15,ice
156,156,Dewott,15,water
157,157,Dialga,14,dragon
158,158,Diancie,4,rock
159,159,Diggersby,9,poison
160,160,Diglett,16,poison
161,161,Ditto,5,bug
162,162,Dodrio,1,ice
163,163,Doduo,1,flying
164,164,Donphan,13,poison
165,165,Doublade,4,poison
166,166,Dragalge,8,poison
167,167,Dragonair,14,dragon
168,168,Dragonite,14,dragon
169,169,Drapion,8,poison
170,170,Dratini,14,dragon
171,171,Drifblim,8,poison
172,172,Drifloon,8,poison
173,173,Drilbur,16,poison
174,174,Drowzee,9,poison
175,175,Druddigon,14,poison
176,176,Ducklett,15,water
177,177,Dugtrio,16,poison
178,178,Dunsparce,16,poison
179,179,Duosion,4,ground
180,180,Durant,16,rock
181,181,Dusclops,11,ice
182,182,Dusknoir,11,ice
183,183,Duskull,11,ghost
184,184,Dustox,10,poison
185,185,Dwebble,16,rock
186,186,Eelektrik,8,poison
187,187,Eelektross,14,dragon
188,188,Eevee,9,ice
189,189,Ekans,8,poison
190,190,Electabuzz,13,ice
191,191,Electivire,3,rock
192,192,Electrike,3,poison
193,193,Electrode,3,poison
194,194,Elekid,13,ice
195,195,Elgyem,11,dark
196,196,Emboar,12,poison
197,197,Emolga,3,electric
198,198,Empoleon,0,rock
